 SERIES_ID  SERIAL_ID SERIES_NUMBER    VIEWERS       RANK
---------- ---------- ------------- ---------- ----------
         1          1             1          0          1
         2          1             2          0          1
         8          1             8          0          1
         7          1             7          0          1
         6          1             6          0          1
         5          1             5          0          1
         4          1             4          0          1
         3          1             3          0          1
         9          1             9         10          9
        10          1            10        450         10
        13          2             3          3          1

 SERIES_ID  SERIAL_ID SERIES_NUMBER    VIEWERS       RANK
---------- ---------- ------------- ---------- ----------
        14          2             4          4          2
        18          2             8          7          3
        20          2            10         10          4
        12          2             2         23          5
        15          2             5         55          6
        16          2             6         56          7
        19          2             9         65          8
        17          2             7         67          9
        11          2             1        123         10
        22          3             2          3          1
        23          3             3          4          2

 SERIES_ID  SERIAL_ID SERIES_NUMBER    VIEWERS       RANK
---------- ---------- ------------- ---------- ----------
        25          3             5          7          3
        24          3             4         76          4
        26          3             6         78          5
        27          3             7         98          6
        21          3             1        123          7
        29          4             2          4          1
        31          4             1          5          2
        34          4             1         12          3
        33          4             3         13          4
        32          4             2         34          5
        30          4             3         44          6

 SERIES_ID  SERIAL_ID SERIES_NUMBER    VIEWERS       RANK
---------- ---------- ------------- ---------- ----------
        35          4             2         55          7
        36          4             3         55          7
        37          4             1         55          7
        38          4             2         55          7
        39          4             3         55          7
        28          4             1        566         12
        63          5             4          1          1
        64          5             5          1          1
        62          5             3          1          1
        61          5             2          1          1
        60          5             1          1          1

 SERIES_ID  SERIAL_ID SERIES_NUMBER    VIEWERS       RANK
---------- ---------- ------------- ---------- ----------
        59          5             5          1          1
        58          5             4          1          1
        44          5             5          3          8
        43          5             4          3          8
        45          5             1          4         10
        49          5             5          5         11
        46          5             2          7         12
        47          5             3          9         13
        57          5             3         12         14
        55          5             1         12         14
        54          5             5         12         14

 SERIES_ID  SERIAL_ID SERIES_NUMBER    VIEWERS       RANK
---------- ---------- ------------- ---------- ----------
        53          5             4         12         14
        52          5             3         12         14
        51          5             2         12         14
        56          5             2         12         14
        50          5             1         55         21
        41          5             2         55         21
        40          5             1         55         21
        48          5             4         99         24
        42          5             3        111         25
        71          6             1          2          1
        76          6             6          2          1

 SERIES_ID  SERIAL_ID SERIES_NUMBER    VIEWERS       RANK
---------- ---------- ------------- ---------- ----------
        75          6             5          2          1
        74          6             4          2          1
        73          6             3          2          1
        72          6             2          2          1
        70          6             6         23          7
        67          6             3         27          8
        82          6             6         30          9
        78          6             2         34         10
        68          6             4         47         11
        69          6             5         64         12
        65          6             1         66         13

 SERIES_ID  SERIAL_ID SERIES_NUMBER    VIEWERS       RANK
---------- ---------- ------------- ---------- ----------
        66          6             2         74         14
        77          6             1        123         15
        81          6             5        250         16
        79          6             3        324         17
        80          6             4       4560         18

82 rows selected. 
