 SERIES_ID  SERIAL_ID SERIES_NUMBER    VIEWERS        SUM
---------- ---------- ------------- ---------- ----------
         1          1             1          0          0
         2          1             2          0          0
         3          1             3          0          0
         4          1             4          0          0
         5          1             5          0          0
         6          1             6          0          0
         7          1             7          0          0
         8          1             8          0          0
         9          1             9         10         10
        10          1            10        450        460
        11          2             1        123        123

 SERIES_ID  SERIAL_ID SERIES_NUMBER    VIEWERS        SUM
---------- ---------- ------------- ---------- ----------
        12          2             2         23        146
        13          2             3          3        149
        14          2             4          4        153
        15          2             5         55        208
        16          2             6         56        264
        17          2             7         67        331
        18          2             8          7        338
        19          2             9         65        403
        20          2            10         10        413
        21          3             1        123        123
        22          3             2          3        126

 SERIES_ID  SERIAL_ID SERIES_NUMBER    VIEWERS        SUM
---------- ---------- ------------- ---------- ----------
        23          3             3          4        130
        24          3             4         76        206
        25          3             5          7        213
        26          3             6         78        291
        27          3             7         98        389
        28          4             1        566        566
        29          4             2          4        570
        30          4             3         44        614
        31          4             1          5        619
        32          4             2         34        653
        33          4             3         13        666

 SERIES_ID  SERIAL_ID SERIES_NUMBER    VIEWERS        SUM
---------- ---------- ------------- ---------- ----------
        34          4             1         12        678
        35          4             2         55        733
        36          4             3         55        788
        37          4             1         55        843
        38          4             2         55        898
        39          4             3         55        953
        40          5             1         55         55
        41          5             2         55        110
        42          5             3        111        221
        43          5             4          3        224
        44          5             5          3        227

 SERIES_ID  SERIAL_ID SERIES_NUMBER    VIEWERS        SUM
---------- ---------- ------------- ---------- ----------
        45          5             1          4        231
        46          5             2          7        238
        47          5             3          9        247
        48          5             4         99        346
        49          5             5          5        351
        50          5             1         55        406
        51          5             2         12        418
        52          5             3         12        430
        53          5             4         12        442
        54          5             5         12        454
        55          5             1         12        466

 SERIES_ID  SERIAL_ID SERIES_NUMBER    VIEWERS        SUM
---------- ---------- ------------- ---------- ----------
        56          5             2         12        478
        57          5             3         12        490
        58          5             4          1        491
        59          5             5          1        492
        60          5             1          1        493
        61          5             2          1        494
        62          5             3          1        495
        63          5             4          1        496
        64          5             5          1        497
        65          6             1         66         66
        66          6             2         74        140

 SERIES_ID  SERIAL_ID SERIES_NUMBER    VIEWERS        SUM
---------- ---------- ------------- ---------- ----------
        67          6             3         27        167
        68          6             4         47        214
        69          6             5         64        278
        70          6             6         23        301
        71          6             1          2        303
        72          6             2          2        305
        73          6             3          2        307
        74          6             4          2        309
        75          6             5          2        311
        76          6             6          2        313
        77          6             1        123        436

 SERIES_ID  SERIAL_ID SERIES_NUMBER    VIEWERS        SUM
---------- ---------- ------------- ---------- ----------
        78          6             2         34        470
        79          6             3        324        794
        80          6             4       4560       5354
        81          6             5        250       5604
        82          6             6         30       5634

82 rows selected. 
