SERIAL_NAME                    SEASON_NUMBER SERIES_NUMBER       ITOG
------------------------------ ------------- ------------- ----------
Кухня                                      1             1          0
Кухня                                      1             2          0
Кухня                                      1             3          0
Кухня                                      1             4          0
Кухня                                      1             5          0
Кухня                                      1             6          0
Кухня                                      1             7          0
Кухня                                      1             8          0
Кухня                                      1             9         10
Кухня                                      1            10        450
Кухня                                      1            11        123

SERIAL_NAME                    SEASON_NUMBER SERIES_NUMBER       ITOG
------------------------------ ------------- ------------- ----------
Кухня                                      1            12         23
Кухня                                      1            13          3
Кухня                                      1            14          4
Кухня                                      1            15         55
Кухня                                      1            16         56
Кухня                                      1            17         67
Кухня                                      1            18          7
Кухня                                      1            19         65
Кухня                                      1            20         10
Кухня                                      1                      873
Кухня                                      2             1        123

SERIAL_NAME                    SEASON_NUMBER SERIES_NUMBER       ITOG
------------------------------ ------------- ------------- ----------
Кухня                                      2             2          3
Кухня                                      2             3          4
Кухня                                      2             4         76
Кухня                                      2             5          7
Кухня                                      2             6         78
Кухня                                      2             7         98
Кухня                                      2             8        566
Кухня                                      2             9          4
Кухня                                      2            10         44
Кухня                                      2            11          5
Кухня                                      2            12         34

SERIAL_NAME                    SEASON_NUMBER SERIES_NUMBER       ITOG
------------------------------ ------------- ------------- ----------
Кухня                                      2            13         13
Кухня                                      2            14         12
Кухня                                      2            15         55
Кухня                                      2            16         55
Кухня                                      2            17         55
Кухня                                      2            18         55
Кухня                                      2            19         55
Кухня                                      2            20         55
Кухня                                      2                     1397
Кухня                                      3             1         55
Кухня                                      3             2        111

SERIAL_NAME                    SEASON_NUMBER SERIES_NUMBER       ITOG
------------------------------ ------------- ------------- ----------
Кухня                                      3             3          3
Кухня                                      3             4          3
Кухня                                      3             5          4
Кухня                                      3             6          7
Кухня                                      3             7          9
Кухня                                      3             8         99
Кухня                                      3             9          5
Кухня                                      3            10         55
Кухня                                      3            11         12
Кухня                                      3            12         12
Кухня                                      3            13         12

SERIAL_NAME                    SEASON_NUMBER SERIES_NUMBER       ITOG
------------------------------ ------------- ------------- ----------
Кухня                                      3            14         12
Кухня                                      3            15         12
Кухня                                      3            16         12
Кухня                                      3            17         12
Кухня                                      3            18          1
Кухня                                      3            19          1
Кухня                                      3            20          1
Кухня                                      3                      438
Кухня                                      4             1          1
Кухня                                      4             2          1
Кухня                                      4             3          1

SERIAL_NAME                    SEASON_NUMBER SERIES_NUMBER       ITOG
------------------------------ ------------- ------------- ----------
Кухня                                      4             4          1
Кухня                                      4             5         66
Кухня                                      4             6         74
Кухня                                      4             7         27
Кухня                                      4             8         47
Кухня                                      4             9         64
Кухня                                      4            10         23
Кухня                                      4            11          2
Кухня                                      4            12          2
Кухня                                      4            13          2
Кухня                                      4            14          2

SERIAL_NAME                    SEASON_NUMBER SERIES_NUMBER       ITOG
------------------------------ ------------- ------------- ----------
Кухня                                      4            15          2
Кухня                                      4            16          2
Кухня                                      4            17        123
Кухня                                      4            18         34
Кухня                                      4            19        324
Кухня                                      4            20       4560
Кухня                                      4                     5358
Кухня                                      5             1        250
Кухня                                      5             2         30
Кухня                                      5             3         32
Кухня                                      5             4         32

SERIAL_NAME                    SEASON_NUMBER SERIES_NUMBER       ITOG
------------------------------ ------------- ------------- ----------
Кухня                                      5             5         32
Кухня                                      5             6         32
Кухня                                      5             7         32
Кухня                                      5             8         32
Кухня                                      5             9         32
Кухня                                      5            10         32
Кухня                                      5            11         32
Кухня                                      5            12         32
Кухня                                      5            13         32
Кухня                                      5            14         32
Кухня                                      5            15         32

SERIAL_NAME                    SEASON_NUMBER SERIES_NUMBER       ITOG
------------------------------ ------------- ------------- ----------
Кухня                                      5            16         32
Кухня                                      5            17         32
Кухня                                      5            18         32
Кухня                                      5            19         32
Кухня                                      5            20         32
Кухня                                      5                      856
Кухня                                      6             1         32
Кухня                                      6             2         32
Кухня                                      6             3         32
Кухня                                      6             4         32
Кухня                                      6             5         32

SERIAL_NAME                    SEASON_NUMBER SERIES_NUMBER       ITOG
------------------------------ ------------- ------------- ----------
Кухня                                      6             6         32
Кухня                                      6             7         32
Кухня                                      6             8         32
Кухня                                      6             9         32
Кухня                                      6            10         32
Кухня                                      6            11         32
Кухня                                      6            12         32
Кухня                                      6            13         32
Кухня                                      6            14         32
Кухня                                      6            15         32
Кухня                                      6            16         32

SERIAL_NAME                    SEASON_NUMBER SERIES_NUMBER       ITOG
------------------------------ ------------- ------------- ----------
Кухня                                      6            17         32
Кухня                                      6            18         32
Кухня                                      6            19         32
Кухня                                      6            20         32
Кухня                                      6                      640
Кухня                                                            9562
                                                                 9562

128 rows selected. 

