SERIES_ID  SERIAL_ID SEASON_NUMBER SERIES_NUMBER    VIEWERS
---------- ---------- ------------- ------------- ----------
         1          1             1             1          0
         2          1             1             2          0
         3          1             1             3          0
         4          1             1             4          0
         5          1             1             5          0
         6          1             1             6          0
         7          1             1             7          0
         8          1             1             8          0
         9          1             1             9         10
        10          1             1            10        450
        11          2             1            11        123

 SERIES_ID  SERIAL_ID SEASON_NUMBER SERIES_NUMBER    VIEWERS
---------- ---------- ------------- ------------- ----------
        12          2             1            12         23
        13          2             1            13          3
        14          2             1            14          4
        15          2             1            15         55
        16          2             1            16         56
        17          2             1            17         67
        18          2             1            18          7
        19          2             1            19         65
        20          2             1            20         10
        21          3             1             1        123
        22          3             1             2          3

 SERIES_ID  SERIAL_ID SEASON_NUMBER SERIES_NUMBER    VIEWERS
---------- ---------- ------------- ------------- ----------
        23          3             1             3          4
        24          3             1             4         76
        25          3             1             5          7
        26          3             1             6         78
        27          3             1             7         98
        28          4             1             8        566
        29          4             1             9          4
        30          4             1            10         44
        31          4             2            11          5
        32          4             2            12         34
        33          4             2            13         13

 SERIES_ID  SERIAL_ID SEASON_NUMBER SERIES_NUMBER    VIEWERS
---------- ---------- ------------- ------------- ----------
        34          4             3            14         12
        35          4             3            15         55
        36          4             3            16         55
        37          4             4            17         55
        38          4             4            18         55
        39          4             4            19         55
        40          5             1            20         55
        41          5             1             1         55
        42          5             1             2        111
        43          5             1             3          3
        44          5             1             4          3

 SERIES_ID  SERIAL_ID SEASON_NUMBER SERIES_NUMBER    VIEWERS
---------- ---------- ------------- ------------- ----------
        45          5             2             5          4
        46          5             2             6          7
        47          5             2             7          9
        48          5             2             8         99
        49          5             2             9          5
        50          5             3            10         55
        51          5             3            11         12
        52          5             3            12         12
        53          5             3            13         12
        54          5             3            14         12
        55          5             4            15         12

 SERIES_ID  SERIAL_ID SEASON_NUMBER SERIES_NUMBER    VIEWERS
---------- ---------- ------------- ------------- ----------
        56          5             4            16         12
        57          5             4            17         12
        58          5             4            18          1
        59          5             4            19          1
        60          5             5            20          1
        61          5             5             1          1
        62          5             5             2          1
        63          5             5             3          1
        64          5             5             4          1
        65          6             1             5         66
        66          6             1             6         74

 SERIES_ID  SERIAL_ID SEASON_NUMBER SERIES_NUMBER    VIEWERS
---------- ---------- ------------- ------------- ----------
        67          6             1             7         27
        68          6             1             8         47
        69          6             1             9         64
        70          6             1                       23
        71          6             2            11          2
        72          6             2            12          2
        73          6             2            13          2
        74          6             2            14          2
        75          6             2            10          2
        76          6             2            16          2
        77          6             3            17        123

 SERIES_ID  SERIAL_ID SEASON_NUMBER SERIES_NUMBER    VIEWERS
---------- ---------- ------------- ------------- ----------
        78          6             3            18         34
        79          6             3            19        324
        80          6             3            20       4560
        81          6             3             1        250
        82          6             3             2         30
        83          1             5             3         32
        84          1             5             4         32
        85          1             5             5         32
        86          1             5             6         32
        87          1             5             7         32
        88          1             5             8         32

 SERIES_ID  SERIAL_ID SEASON_NUMBER SERIES_NUMBER    VIEWERS
---------- ---------- ------------- ------------- ----------
        89          1             5             9         32
        90          1             5            10         32
        91          1             5            11         32
        92          1             5            12         32
        93          1             5            13         32
        94          1             5            14         32
        95          1             5            15         32
        96          1             5            16         32
        97          1             5            17         32
        98          1             5            18         32
        99          1             5            19         32

 SERIES_ID  SERIAL_ID SEASON_NUMBER SERIES_NUMBER    VIEWERS
---------- ---------- ------------- ------------- ----------
       100          1             5            20         32
       101          1             6             1         32
       102          1             6             2         32
       103          1             6             3         32
       104          1             6             4         32
       105          1             6             5         32
       106          1             6             6         32
       107          1             6             7         32
       108          1             6             8         32
       109          1             6             9         32
       110          1             6            10         32

 SERIES_ID  SERIAL_ID SEASON_NUMBER SERIES_NUMBER    VIEWERS
---------- ---------- ------------- ------------- ----------
       111          1             6            11         32
       112          1             6            12         32
       113          1             6            13         32
       114          1             6            14         32
       115          1             6            15         32
       116          1             6            16         32
       117          1             6            17         32
       118          1             6            18         32
       119          1             6            19         32
       120          1             6            20         32
       121          2             1             1         32

 SERIES_ID  SERIAL_ID SEASON_NUMBER SERIES_NUMBER    VIEWERS
---------- ---------- ------------- ------------- ----------
       122          2             1             2         32
       123          2             1             3         32
       124          2             1             4         32
       125          2             1             5         32
       126          2             1             6         32
       127          2             1             7         32
       128          2             1             8         32
       129          2             1             9         32
       130          2             1            10         32
       131          2             1            11         32
       132          2             1            12         32

 SERIES_ID  SERIAL_ID SEASON_NUMBER SERIES_NUMBER    VIEWERS
---------- ---------- ------------- ------------- ----------
       133          2             1            13         32
       134          2             1            14         32
       135          2             1            15         32
       136          2             1            16         32
       137          2             1            17         32
       138          2             1            18         32
       139          2             1            19         32
       140          2             1            20         32
       141          2             2             1         32
       142          2             2             2         32
       143          2             2             3         32

 SERIES_ID  SERIAL_ID SEASON_NUMBER SERIES_NUMBER    VIEWERS
---------- ---------- ------------- ------------- ----------
       144          2             2             4         32
       145          2             2             5         32
       146          2             2             6         32
       147          2             2             7         32
       148          2             2             8         32
       149          2             2             9         32
       150          2             2            10         32
       151          2             2            11         32
       152          2             2            12         32
       153          2             2            13         32
       154          2             2            14         32

 SERIES_ID  SERIAL_ID SEASON_NUMBER SERIES_NUMBER    VIEWERS
---------- ---------- ------------- ------------- ----------
       155          2             2            15         32
       156          2             2            16         32
       157          2             2            17         32
       158          2             2            18         32
       159          2             2            19         32
       160          2             2            20         32
       161          2             3             1         32
       162          2             3             2         32
       163          2             3             3         32
       164          2             3             4         32
       165          2             3             5         32

 SERIES_ID  SERIAL_ID SEASON_NUMBER SERIES_NUMBER    VIEWERS
---------- ---------- ------------- ------------- ----------
       166          2             3             6         32
       167          2             3             7         32
       168          2             3             8         32
       169          2             3             9         32
       170          2             3            10         32
       171          2             3            11         32
       172          2             3            12         32
       173          2             3            13         32
       174          2             3            14         32
       175          2             3            15         32
       176          2             3            16         32

 SERIES_ID  SERIAL_ID SEASON_NUMBER SERIES_NUMBER    VIEWERS
---------- ---------- ------------- ------------- ----------
       177          2             3            17         32
       178          2             3            18         32
       179          2             3            19         32
       180          2             3            20         32
       181          2             3            21         32
       182          2             4             1         32
       183          2             4             2         32
       184          2             4             3         32
       185          2             4             4         32
       186          2             4             5         32
       187          2             4             6         32

 SERIES_ID  SERIAL_ID SEASON_NUMBER SERIES_NUMBER    VIEWERS
---------- ---------- ------------- ------------- ----------
       188          2             4             7         32
       189          2             4             8         32
       190          2             4             9         32
       191          2             4            10         32
       192          2             4            11         32
       193          2             4            12         32
       194          2             4            13         32
       195          2             4            14         32
       196          2             4            15         32
       197          2             4            16         32
       198          3             1             1         32

 SERIES_ID  SERIAL_ID SEASON_NUMBER SERIES_NUMBER    VIEWERS
---------- ---------- ------------- ------------- ----------
       199          3             1             2         32
       200          3             1             3         32
       201          3             1             4         32
       202          3             1             5         32
       203          3             1             6         32
       204          3             1             7         32
       205          3             1             8         32
       206          3             1             9         32
       207          3             1            10         32
       208          3             1            11         32
       209          3             1            12         32

 SERIES_ID  SERIAL_ID SEASON_NUMBER SERIES_NUMBER    VIEWERS
---------- ---------- ------------- ------------- ----------
       210          3             2             1         32
       211          3             2             2         32
       212          3             2             3         32
       213          3             2             4         32
       214          3             2             5         32
       215          3             2             6         32
       216          3             2             7         32
       217          3             2             8         32
       218          3             2             9         32
       219          3             2            10         32
       220          3             2            11         32

 SERIES_ID  SERIAL_ID SEASON_NUMBER SERIES_NUMBER    VIEWERS
---------- ---------- ------------- ------------- ----------
       221          3             2            12         32
       222          3             3             1         32
       223          3             3             2         32
       224          3             3             3         32
       225          3             3             4         32
       226          3             3             5         32
       227          3             3             6         32
       228          3             3             7         32
       229          3             3             8         32
       230          3             3             9         32
       231          3             3            10         32

 SERIES_ID  SERIAL_ID SEASON_NUMBER SERIES_NUMBER    VIEWERS
---------- ---------- ------------- ------------- ----------
       232          3             3            11         32
       233          3             3            12         32
       234          3             3            13         32
       235          3             3            14         32
       236          3             3            15         32
       237          3             3            16         32
       238          4             1             1         32
       239          4             1             2         32
       240          4             1             3         32
       241          4             2             1         32
       242          4             2             2         32

 SERIES_ID  SERIAL_ID SEASON_NUMBER SERIES_NUMBER    VIEWERS
---------- ---------- ------------- ------------- ----------
       243          4             2             3         32
       244          4             3             1         32
       245          4             3             2         32
       246          4             3             3         32
       247          4             4             1         32
       248          4             4             2         32
       249          4             4             3         32
       250          5             1             1         32
       251          5             1             2         32
       252          5             1             3         32
       253          5             1             4         32

 SERIES_ID  SERIAL_ID SEASON_NUMBER SERIES_NUMBER    VIEWERS
---------- ---------- ------------- ------------- ----------
       254          5             1             5         32
       255          5             1             6         32
       256          5             1             7         32
       257          5             1             8         32
       258          5             1             9         32
       259          5             1            10         32
       260          5             2             1         32
       261          5             2             2         32
       262          5             2             3         32
       263          5             2             4         32
       264          5             2             5         32

 SERIES_ID  SERIAL_ID SEASON_NUMBER SERIES_NUMBER    VIEWERS
---------- ---------- ------------- ------------- ----------
       265          5             2             6         32
       266          5             2             7         32
       267          5             2             8         32
       268          5             2             9         32
       269          5             2            10         32
       270          5             3             1         32
       271          5             3             2         32
       272          5             3             3         32
       273          5             3             4         32
       274          5             3             5         32
       275          5             3             6         32

 SERIES_ID  SERIAL_ID SEASON_NUMBER SERIES_NUMBER    VIEWERS
---------- ---------- ------------- ------------- ----------
       276          5             3             7         32
       277          5             3             8         32
       278          5             3             9         32
       279          5             3            10         32
       280          5             4             1         32
       281          5             4             2         32
       282          5             4             3         32
       283          5             4             4         32
       284          5             4             5         32
       285          5             4             6         32
       286          5             4             7         32

 SERIES_ID  SERIAL_ID SEASON_NUMBER SERIES_NUMBER    VIEWERS
---------- ---------- ------------- ------------- ----------
       287          5             4             8         32
       288          5             4             9         32
       289          5             4            10         32
       290          5             5             1         32
       291          5             5             2         32
       292          5             5             3         32
       293          5             5             4         32
       294          5             5             5         32
       295          5             5             6         32
       296          5             5             7         32
       297          5             5             8         32

 SERIES_ID  SERIAL_ID SEASON_NUMBER SERIES_NUMBER    VIEWERS
---------- ---------- ------------- ------------- ----------
       298          5             5             9         32
       299          5             5            10         32
       300          5             6             1         32
       301          5             6             2         32
       302          5             6             3         32
       303          5             6             4         32
       304          5             6             5         32
       305          5             6             6         32
       306          5             6             7         32
       307          5             6             8         32
       308          5             6             9         32

 SERIES_ID  SERIAL_ID SEASON_NUMBER SERIES_NUMBER    VIEWERS
---------- ---------- ------------- ------------- ----------
       309          5             6            10         32
       310          5             7             1         32
       311          5             7             2         32
       312          5             7             3         32
       313          5             7             4         32
       314          5             7             5         32
       315          5             7             6         32
       316          5             7             7         32
       317          5             8             1         32
       318          5             8             2         32
       319          5             8             3         32

 SERIES_ID  SERIAL_ID SEASON_NUMBER SERIES_NUMBER    VIEWERS
---------- ---------- ------------- ------------- ----------
       320          5             8             4         32
       321          5             8             5         32
       322          5             8             6         32
       323          6             1             1         32
       324          6             1             2         32
       325          6             1             3         32
       326          6             1             4         32
       327          6             1             5         32
       328          6             1             6         32
       329          6             2             1         32
       330          6             2             2         32

 SERIES_ID  SERIAL_ID SEASON_NUMBER SERIES_NUMBER    VIEWERS
---------- ---------- ------------- ------------- ----------
       331          6             2             3         32
       332          6             2             4         32
       333          6             2             5         32
       334          6             2             6         32
       335          6             3             1         32
       336          6             3             2         32
       337          6             3             3         32
       338          6             3             4         32
       339          6             3             5         32
       340          6             3             6         32
       341          6             4             1         32

 SERIES_ID  SERIAL_ID SEASON_NUMBER SERIES_NUMBER    VIEWERS
---------- ---------- ------------- ------------- ----------
       342          6             4             2         32
       343          6             4             3         32
       344          6             4             4         32
       345          6             4             5         32
       346          6             4             6         32
       347          6             5             1         32
       348          6             5             2         32
       349          6             5             3         32
       350          6             5             4         32
       351          6             5             5         32
       352          6             5             6         32

352 rows selected. 
