INSERT ALL
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(83, 1, 5, 3, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(84, 1, 5, 4, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(85, 1, 5, 5, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(86, 1, 5, 6, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(87, 1, 5, 7, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(88, 1, 5, 8, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(89, 1, 5, 9, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(90, 1, 5, 10, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(91, 1, 5, 11, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(92, 1, 5, 12, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(93, 1, 5, 13, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(94, 1, 5, 14, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(95, 1, 5, 15, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(96, 1, 5, 16, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(97, 1, 5, 17, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(98, 1, 5, 18, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(99, 1, 5, 19, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(100, 1, 5, 20, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(101, 1, 6, 1, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(102, 1, 6, 2, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(103, 1, 6, 3, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(104, 1, 6, 4, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(105, 1, 6, 5, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(106, 1, 6, 6, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(107, 1, 6, 7, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(108, 1, 6, 8, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(109, 1, 6, 9, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(110, 1, 6, 10, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(111, 1, 6, 11, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(112, 1, 6, 12, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(113, 1, 6, 13, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(114, 1, 6, 14, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(115, 1, 6, 15, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(116, 1, 6, 16, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(117, 1, 6, 17, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(118, 1, 6, 18, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(119, 1, 6, 19, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(120, 1, 6, 20, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(121, 2, 1, 1, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(122, 2, 1, 2, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(123, 2, 1, 3, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(124, 2, 1, 4, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(125, 2, 1, 5, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(126, 2, 1, 6, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(127, 2, 1, 7, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(128, 2, 1, 8, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(129, 2, 1, 9, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(130, 2, 1, 10, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(131, 2, 1, 11, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(132, 2, 1, 12, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(133, 2, 1, 13, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(134, 2, 1, 14, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(135, 2, 1, 15, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(136, 2, 1, 16, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(137, 2, 1, 17, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(138, 2, 1, 18, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(139, 2, 1, 19, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(140, 2, 1, 20, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(141, 2, 2, 1, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(142, 2, 2, 2, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(143, 2, 2, 3, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(144, 2, 2, 4, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(145, 2, 2, 5, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(146, 2, 2, 6, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(147, 2, 2, 7, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(148, 2, 2, 8, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(149, 2, 2, 9, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(150, 2, 2, 10, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(151, 2, 2, 11, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(152, 2, 2, 12, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(153, 2, 2, 13, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(154, 2, 2, 14, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(155, 2, 2, 15, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(156, 2, 2, 16, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(157, 2, 2, 17, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(158, 2, 2, 18, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(159, 2, 2, 19, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(160, 2, 2, 20, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(161, 2, 3, 1, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(162, 2, 3, 2, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(163, 2, 3, 3, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(164, 2, 3, 4, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(165, 2, 3, 5, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(166, 2, 3, 6, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(167, 2, 3, 7, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(168, 2, 3, 8, 32)
INTO series(series_id, SERIAL_ID, SEASON_NUMBER, SERIES_NUMBER, viewers)VALUES(169, 2, 3, 9, 32)
